Species_DBs	Strain_DBs	Origin DB	Reason Phenotype	Taxonomy ID	Species abb.	# assembly_accession_genbank	ftp_path_genbank	PathoPhenotype	# assembly_accession_refseq	bioproject_refseq	biosample_refseq	wgs_master_refseq	refseq_category_refseq	taxid_refseq	species_taxid_refseq	organism_name_refseq	infraspecific_name_refseq	isolate_refseq	version_status_refseq	assembly_level_refseq	release_type_refseq	genome_rep_refseq	seq_rel_date_refseq	asm_name_refseq	submitter_refseq	gbrs_paired_asm_refseq	paired_asm_comp_refseq	ftp_path_refseq	excluded_from_refseq_refseq	relation_to_type_material_refseq	asm_not_live_date_refseq	Species_Refseq	Entry	Full name	File	refseq_iden	cluster	partition	File_Embedding	Protein Count
Mycobacterium colombiense	TKK-01-0051	Patric (diseases)		1324261.0	M. colombiense	GCA_000661085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/661/085/GCA_000661085.1_Myco_sp_TKK-01-0051_V1	Pathogenic	GCF_000661085.1	PRJNA224116	SAMN02053784	JLXW00000000.1	na	1324261	339268	Mycobacterium [tuberculosis] TKK-01-0051	strain=TKK-01-0051		latest	Scaffold	Major	Full	2014/04/30	Myco_sp_TKK-01-0051_V1	Broad Institute	GCA_000661085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/661/085/GCF_000661085.1_Myco_sp_TKK-01-0051_V1			na	Mycobacterium [tuberculosis]	NZ_KK328284.1	Mycobacterium [tuberculosis] TKK-01-0051 addxi-supercont1.1, whole genome shotgun sequence	GCF_000661085.1_Myco_sp_TKK-01-0051_V1_genomic.fna.gz 	GCF_000661085.1	623	3	GCF_000/GCF_000661085.1_Myco_sp_TKK-01-0051_V1_genomic.h5	5616
Bordetella bronchiseptica//Bordetella bronchiseptica 00-P-2796	00-P-2796	ENA, Patric (diseases)	ENADB, 	1331199.0	Bordetella bronchiseptica//Bordetella bronchiseptica 00-P-2796	GCA_000662095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/095/GCA_000662095.1_gbb03v01	Pathogenic	GCF_000662095.1	PRJNA224116	SAMN02231538	JGWH00000000.1	na	1331199	518	Bordetella bronchiseptica 00-P-2796	strain=00-P-2796		latest	Contig	Major	Full	2014/05/01	gbb03v01	JCVI	GCA_000662095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/095/GCF_000662095.1_gbb03v01			na	Bordetella bronchiseptica	NZ_JGWH01000001.1	Bordetella bronchiseptica 00-P-2796 ctg7180000007466, whole genome shotgun sequence	GCF_000662095.1_gbb03v01_genomic.fna.gz 	GCF_000662095.1	1835	5	GCF_000/GCF_000662095.1_gbb03v01_genomic.h5	5352
Acinetobacter baumannii	44298_3	NCBI	NCBIPathogenDBB	1311080.0	A. baumannii	GCA_000671495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/671/495/GCA_000671495.1_ASM67149v1	Pathogenic	GCF_000671495.1	PRJNA224116	SAMN02646374	JMHA00000000.1	na	1311080	470	Acinetobacter baumannii 44298_3	strain=44298_3		latest	Contig	Major	Full	2014/05/02	ASM67149v1	Institute for Genome Sciences	GCA_000671495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/671/495/GCF_000671495.1_ASM67149v1			na	Acinetobacter baumannii	NZ_JMHA01000001.1	Acinetobacter baumannii 44298_3 ab442983.contig.0_1, whole genome shotgun sequence	GCF_000671495.1_ASM67149v1_genomic.fna.gz 	GCF_000671495.1	51	1	GCF_000/GCF_000671495.1_ASM67149v1_genomic.h5	3879
Acinetobacter baumannii	45075_1	NCBI	NCBIPathogenDBB	1311088.0	A. baumannii	GCA_000671595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/671/595/GCA_000671595.1_ASM67159v1	Pathogenic	GCF_000671595.1	PRJNA224116	SAMN02646386	JMHF00000000.1	na	1311088	470	Acinetobacter baumannii 45075_1	strain=45075_1		latest	Contig	Major	Full	2014/05/02	ASM67159v1	Institute for Genome Sciences	GCA_000671595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/671/595/GCF_000671595.1_ASM67159v1			na	Acinetobacter baumannii	NZ_JMHF01000001.1	Acinetobacter baumannii 45075_1 ab450751.contig.0_1, whole genome shotgun sequence	GCF_000671595.1_ASM67159v1_genomic.fna.gz 	GCF_000671595.1	51	1	GCF_000/GCF_000671595.1_ASM67159v1_genomic.h5	3688
Acinetobacter baumannii	21072	NCBI	NCBIPathogenDBB	1310697.0	A. baumannii	GCA_000681575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/681/575/GCA_000681575.1_ASM68157v1	Pathogenic	GCF_000681575.1	PRJNA224116	SAMN02692972	JMOD00000000.1	na	1310697	470	Acinetobacter baumannii 21072	strain=21072		latest	Contig	Major	Full	2014/05/06	ASM68157v1	Institute for Genome Sciences	GCA_000681575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/681/575/GCF_000681575.1_ASM68157v1			na	Acinetobacter baumannii	NZ_JMOD01000001.1	Acinetobacter baumannii 21072 ab21072.contig.0_1, whole genome shotgun sequence	GCF_000681575.1_ASM68157v1_genomic.fna.gz 	GCF_000681575.1	51	1	GCF_000/GCF_000681575.1_ASM68157v1_genomic.h5	4299
Acinetobacter baumannii	1505311	NCBI	NCBIPathogenDBB	1310806.0	A. baumannii	GCA_000681595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/681/595/GCA_000681595.1_ASM68159v1	Pathogenic	GCF_000681595.1	PRJNA224116	SAMN02692976	JMOL00000000.1	na	1310806	470	Acinetobacter baumannii 1505311	strain=1505311		latest	Contig	Major	Full	2014/05/06	ASM68159v1	Institute for Genome Sciences	GCA_000681595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/681/595/GCF_000681595.1_ASM68159v1			na	Acinetobacter baumannii	NZ_JMOL01000001.1	Acinetobacter baumannii 1505311 ab1505311.contig.0_1, whole genome shotgun sequence	GCF_000681595.1_ASM68159v1_genomic.fna.gz 	GCF_000681595.1	51	1	GCF_000/GCF_000681595.1_ASM68159v1_genomic.h5	4018
Acinetobacter baumannii	1264765	NCBI	NCBIPathogenDBB	1310824.0	A. baumannii	GCA_000681815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/681/815/GCA_000681815.1_ASM68181v1	Pathogenic	GCF_000681815.1	PRJNA224116	SAMN02649414	JMNG00000000.1	na	1310824	1310824	Acinetobacter sp. 1264765	strain=1264765		latest	Contig	Major	Full	2014/05/06	ASM68181v1	Institute for Genome Sciences	GCA_000681815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/681/815/GCF_000681815.1_ASM68181v1			na	Acinetobacter sp.	NZ_JMNG01000001.1	Acinetobacter sp. 1264765 ab1264765.contig.0_1, whole genome shotgun sequence	GCF_000681815.1_ASM68181v1_genomic.fna.gz 	GCF_000681815.1	74	4	GCF_000/GCF_000681815.1_ASM68181v1_genomic.h5	4080
Acinetobacter baumannii	42057_5	NCBI	NCBIPathogenDBB	1311137.0	A. baumannii	GCA_000682035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/682/035/GCA_000682035.1_ASM68203v1	Pathogenic	GCF_000682035.1	PRJNA224116	SAMN02692993	JMPC00000000.1	na	1311137	470	Acinetobacter baumannii 42057_5	strain=42057_5		latest	Contig	Major	Full	2014/05/06	ASM68203v1	Institute for Genome Sciences	GCA_000682035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/682/035/GCF_000682035.1_ASM68203v1			na	Acinetobacter baumannii	NZ_JMPC01000001.1	Acinetobacter baumannii 42057_5 ab420575.contig.0_1, whole genome shotgun sequence	GCF_000682035.1_ASM68203v1_genomic.fna.gz 	GCF_000682035.1	51	1	GCF_000/GCF_000682035.1_ASM68203v1_genomic.h5	4306
Acinetobacter baumannii	263903-1	NCBI	NCBIPathogenDBB	1310678.0	A. baumannii	GCA_000682155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/682/155/GCA_000682155.1_ASM68215v1	Pathogenic	GCF_000682155.1	PRJNA224116	SAMN02692953	JMNM00000000.1	na	1310678	1310678	Acinetobacter sp. 263903-1	strain=263903-1		latest	Contig	Major	Full	2014/05/06	ASM68215v1	Institute for Genome Sciences	GCA_000682155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/682/155/GCF_000682155.1_ASM68215v1			na	Acinetobacter sp.	NZ_JMNM01000001.1	Acinetobacter sp. 263903-1 ab2639031.contig.0_1, whole genome shotgun sequence	GCF_000682155.1_ASM68215v1_genomic.fna.gz 	GCF_000682155.1	361	1	GCF_000/GCF_000682155.1_ASM68215v1_genomic.h5	3080
Acinetobacter baumannii	796380-1375	NCBI	NCBIPathogenDBB	1310833.0	A. baumannii	GCA_000682615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/682/615/GCA_000682615.1_ASM68261v1	Pathogenic	GCF_000682615.1	PRJNA224116	SAMN02692983	JMOS00000000.1	na	1310833	1310833	Acinetobacter sp. 796380-1375	strain=796380-1375		latest	Contig	Major	Full	2014/05/06	ASM68261v1	Institute for Genome Sciences	GCA_000682615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/682/615/GCF_000682615.1_ASM68261v1			na	Acinetobacter sp.	NZ_JMOS01000001.1	Acinetobacter sp. 796380-1375 ab7963801375.contig.0_1, whole genome shotgun sequence	GCF_000682615.1_ASM68261v1_genomic.fna.gz 	GCF_000682615.1	72	4	GCF_000/GCF_000682615.1_ASM68261v1_genomic.h5	4040
Cronobacter//Cronobacter sakazakii NBRC 102416	NBRC 102416	ENA, NCBI	ENADB, NCBIPathogenDBB	1218104.0	Cronobacter//Cronobacter sakazakii NBRC 102416	GCA_000684935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/684/935/GCA_000684935.1_ASM68493v1	Pathogenic	GCF_000684935.1	PRJNA224116	SAMD00000350	BAWU00000000.1	na	1218104	28141	Cronobacter sakazakii NBRC 102416	strain=NBRC 102416		latest	Contig	Major	Full	2014/04/23	ASM68493v1	National Institute of Technology and Evaluation	GCA_000684935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/684/935/GCF_000684935.1_ASM68493v1		assembly from type material	na	Cronobacter sakazakii	NZ_BAWU01000100.1	Cronobacter sakazakii NBRC 102416, whole genome shotgun sequence	GCF_000684935.1_ASM68493v1_genomic.fna.gz 	GCF_000684935.1	1101	5	GCF_000/GCF_000684935.1_ASM68493v1_genomic.h5	4290
Helicobacter pylori J166//Helicobacter pylori	J166	ENA, Patric (diseases)	ENADB, 	102611.0	Helicobacter pylori J166//Helicobacter pylori	GCA_000685625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/625/GCA_000685625.1_ASM68562v1	Pathogenic	GCF_000685625.1	PRJNA224116	SAMN02736817		na	102611	210	Helicobacter pylori J166	strain=J166		latest	Complete Genome	Major	Full	2014/05/08	ASM68562v1	Penn State University	GCA_000685625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/625/GCF_000685625.1_ASM68562v1			na	Helicobacter pylori	NZ_CP007603.1	Helicobacter pylori J166 chromosome, complete genome	GCF_000685625.1_ASM68562v1_genomic.fna.gz 	GCF_000685625.1	23	3	GCF_000/GCF_000685625.1_ASM68562v1_genomic.h5	1540
Helicobacter pylori	BM012B	ENA	ENADB	210.0	H. pylori	GCA_000685705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/705/GCA_000685705.1_ASM68570v1	Pathogenic	GCF_000685705.1	PRJNA224116	SAMN02736818		na	210	210	Helicobacter pylori	strain=BM012B		latest	Complete Genome	Major	Full	2014/05/08	ASM68570v1	Penn State University	GCA_000685705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/705/GCF_000685705.1_ASM68570v1			na	Helicobacter pylori	NZ_CP007605.1	Helicobacter pylori strain BM012B chromosome, complete genome	GCF_000685705.1_ASM68570v1_genomic.fna.gz 	GCF_000685705.1	23	3	GCF_000/GCF_000685705.1_ASM68570v1_genomic.h5	1572
Helicobacter pylori	BM013B	ENA	ENADB	210.0	H. pylori	GCA_000685745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/745/GCA_000685745.1_ASM68574v1	Pathogenic	GCF_000685745.1	PRJNA224116	SAMN02736816		na	210	210	Helicobacter pylori	strain=BM013B		latest	Complete Genome	Major	Full	2014/05/08	ASM68574v1	Penn State University	GCA_000685745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/745/GCF_000685745.1_ASM68574v1			na	Helicobacter pylori	NZ_CP007606.1	Helicobacter pylori strain BM013B chromosome, complete genome	GCF_000685745.1_ASM68574v1_genomic.fna.gz 	GCF_000685745.1	23	3	GCF_000/GCF_000685745.1_ASM68574v1_genomic.h5	1507
Campylobacter jejuni 10186//Campylobacter jejuni	10186	ENA, NCBI	ENADB, NCBIPathogenDBB	1365653.0	Campylobacter jejuni 10186//Campylobacter jejuni	GCA_000686225.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/686/225/GCA_000686225.1_Assembly_1	Pathogenic	GCF_000686225.1	PRJNA224116	SAMN02744558	AUUG00000000.1	na	1365653	197	Campylobacter jejuni 10186	strain=10186		latest	Scaffold	Major	Full	2014/05/08	Assembly 1	university of exeter	GCA_000686225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/686/225/GCF_000686225.1_Assembly_1			na	Campylobacter jejuni	NZ_KK365571.1	Campylobacter jejuni 10186 scf_17351_1, whole genome shotgun sequence	GCF_000686225.1_Assembly_1_genomic.fna.gz 	GCF_000686225.1	4	4	GCF_000/GCF_000686225.1_Assembly_1_genomic.h5	1746
Escherichia coli	2-011-08_S1_C1	NCBI	NCBIPathogenDBB	1444037.0	E. coli	GCA_000687125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/125/GCA_000687125.1_ASM68712v1	Pathogenic	GCF_000687125.1	PRJNA224116	SAMN02680263	JMGQ00000000.1	na	1444037	562	Escherichia coli 2-011-08_S1_C1	strain=2-011-08_S1_C1		latest	Contig	Major	Full	2014/05/08	ASM68712v1	IGS	GCA_000687125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/125/GCF_000687125.1_ASM68712v1			na	Escherichia coli	NZ_JMGQ01000001.1	Escherichia coli 2-011-08_S1_C1 e201108S1C1.contig.0_1, whole genome shotgun sequence	GCF_000687125.1_ASM68712v1_genomic.fna.gz 	GCF_000687125.1	9	5	GCF_000/GCF_000687125.1_ASM68712v1_genomic.h5	5122
Aeromonas enteropelogenes	1999lcr	Patric (diseases)		29489.0	A. enteropelogenes	GCA_000687355.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/355/GCA_000687355.2_ASM68735v2	Pathogenic	GCF_000687355.2	PRJNA224116	SAMN02732394	JMGO00000000.2	na	29489	29489	Aeromonas enteropelogenes	strain=1999lcr		latest	Contig	Major	Full	2016/03/04	ASM68735v2	Universidade Federal do Parana (UFPR)	GCA_000687355.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/355/GCF_000687355.2_ASM68735v2			na	Aeromonas enteropelogenes	NZ_JMGO02000001.1	Aeromonas enteropelogenes strain 1999lcr Contig1, whole genome shotgun sequence	GCF_000687355.2_ASM68735v2_genomic.fna.gz 	GCF_000687355.2	15956	1	GCF_000/GCF_000687355.2_ASM68735v2_genomic.h5	3861
Klebsiella pneumoniae//Klebsiella pneumoniae MGH 75	MGH 75	ENA, NCBI	ENADB, NCBIPathogenDBB	1438798.0	Klebsiella pneumoniae//Klebsiella pneumoniae MGH 75	GCA_000688215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/215/GCA_000688215.1_Kleb_pneu_MGH_75_V1	Pathogenic	GCF_000688215.1	PRJNA224116	SAMN02581248	JJNK00000000.1	na	1438798	573	Klebsiella pneumoniae MGH 75	strain=MGH 75		latest	Contig	Major	Full	2014/04/15	Kleb_pneu_MGH_75_V1	Broad Institute	GCA_000688215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/688/215/GCF_000688215.1_Kleb_pneu_MGH_75_V1			na	Klebsiella pneumoniae	NZ_JJNK01000001.1	Klebsiella pneumoniae MGH 75 adINu-supercont1.1, whole genome shotgun sequence	GCF_000688215.1_Kleb_pneu_MGH_75_V1_genomic.fna.gz 	GCF_000688215.1	11	2	GCF_000/GCF_000688215.1_Kleb_pneu_MGH_75_V1_genomic.h5	5416
Corynebacterium pseudodiphtheriticum DSM 44287	DSM 44287	ENA	ENADB	1121368.0	Corynebacterium pseudodiphtheriticum DSM 44287	GCA_000688415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/415/GCA_000688415.1_ASM68841v1	Pathogenic	GCF_000688415.1	PRJNA224116	SAMN02743909	JIAH00000000.1	representative genome	1121368	37637	Corynebacterium pseudodiphtheriticum DSM 44287	strain=DSM 44287		latest	Contig	Major	Full	2014/04/08	ASM68841v1	DOE Joint Genome Institute	GCA_000688415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/688/415/GCF_000688415.1_ASM68841v1		assembly from type material	na	Corynebacterium pseudodiphtheriticum	NZ_JIAH01000001.1	Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00010.10_C, whole genome shotgun sequence	GCF_000688415.1_ASM68841v1_genomic.fna.gz 	GCF_000688415.1	1139	2	GCF_000/GCF_000688415.1_ASM68841v1_genomic.h5	2059
Bordetella bronchiseptica F4563//Bordetella bronchiseptica	F4563	ENA, ENA, Patric (diseases)	ENADB, ENADB, 	1331214.0	Bordetella bronchiseptica F4563//Bordetella bronchiseptica	GCA_000690115.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/115/GCA_000690115.2_gbb18v01	Pathogenic	GCF_000690115.2	PRJNA224116	SAMN02231451	JGXC00000000.1	na	1331214	518	Bordetella bronchiseptica F4563	strain=F4563		latest	Contig	Minor	Full	2014/05/12	gbb18v01	JCVI	GCA_000690115.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/115/GCF_000690115.2_gbb18v01			na	Bordetella bronchiseptica	NZ_JGXC01000001.1	Bordetella bronchiseptica F4563 ctg7180000008955, whole genome shotgun sequence	GCF_000690115.2_gbb18v01_genomic.fna.gz 	GCF_000690115.2	1835	5	GCF_000/GCF_000690115.2_gbb18v01_genomic.h5	5057
Bordetella bronchiseptica GA96-01//Bordetella bronchiseptica	GA96-01	ENA, ENA, Patric (diseases)	ENADB, ENADB, 	1331215.0	Bordetella bronchiseptica GA96-01//Bordetella bronchiseptica	GCA_000690135.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/135/GCA_000690135.2_gbb19v01	Pathogenic	GCF_000690135.2	PRJNA224116	SAMN02231542	JGXD00000000.1	na	1331215	518	Bordetella bronchiseptica GA96-01	strain=GA96-01		latest	Contig	Minor	Full	2014/05/12	gbb19v01	JCVI	GCA_000690135.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/135/GCF_000690135.2_gbb19v01			na	Bordetella bronchiseptica	NZ_JGXD01000001.1	Bordetella bronchiseptica GA96-01 ctg7180000013100, whole genome shotgun sequence	GCF_000690135.2_gbb19v01_genomic.fna.gz 	GCF_000690135.2	1835	5	GCF_000/GCF_000690135.2_gbb19v01_genomic.h5	5020
Escherichia coli	S7005	NCBI	NCBIPathogenDBB	562.0	E. coli	GCA_000690985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/985/GCA_000690985.1_S7005	Pathogenic	GCF_000690985.1	PRJNA224116	SAMN02709451	JICG00000000.1	na	562	562	Escherichia coli	strain=S7005		latest	Contig	Major	Full	2014/05/14	S7005	University of Maryland, School of Medicine	GCA_000690985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/985/GCF_000690985.1_S7005			na	Escherichia coli	NZ_JICG01000001.1	Escherichia coli strain S7005 S7005_1, whole genome shotgun sequence	GCF_000690985.1_S7005_genomic.fna.gz 	GCF_000690985.1	9	5	GCF_000/GCF_000690985.1_S7005_genomic.h5	5360
Citrobacter freundii MGH 56	MGH 56	ENA	ENADB	1439318.0	Citrobacter freundii MGH 56	GCA_000692115.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/692/115/GCA_000692115.1_Citr_freu_MGH_56_V1	Pathogenic	GCF_000692115.1	PRJNA224116	SAMN02581388	JMUJ00000000.1	na	1439318	546	Citrobacter freundii MGH 56	strain=MGH 56		latest	Scaffold	Major	Full	2014/05/19	Citr_freu_MGH_56_V1	Broad Institute	GCA_000692115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/115/GCF_000692115.1_Citr_freu_MGH_56_V1			na	Citrobacter freundii	NZ_KK736165.1	Citrobacter freundii MGH 56 aedZq-supercont1.1, whole genome shotgun sequence	GCF_000692115.1_Citr_freu_MGH_56_V1_genomic.fna.gz 	GCF_000692115.1	430	2	GCF_000/GCF_000692115.1_Citr_freu_MGH_56_V1_genomic.h5	5369
Citrobacter sp. MGH 55	MGH 55	ENA	ENADB	1439319.0	Citrobacter sp. MGH 55	GCA_000692135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/692/135/GCA_000692135.1_Citr_sp_MGH_55_V1	Pathogenic	GCF_000692135.1	PRJNA224116	SAMN02581387	JMUK00000000.1	na	1439319	1439319	Citrobacter sp. MGH 55	strain=MGH 55		latest	Scaffold	Major	Full	2014/05/19	Citr_sp_MGH_55_V1	Broad Institute	GCA_000692135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/135/GCF_000692135.1_Citr_sp_MGH_55_V1			na	Citrobacter sp.	NZ_KK736183.1	Citrobacter sp. MGH 55 aedYO-supercont1.1, whole genome shotgun sequence	GCF_000692135.1_Citr_sp_MGH_55_V1_genomic.fna.gz 	GCF_000692135.1	249	2	GCF_000/GCF_000692135.1_Citr_sp_MGH_55_V1_genomic.h5	4905
Klebsiella aerogenes MGH 61//Klebsiella pneumoniae	MGH 61	ENA, NCBI	ENADB, NCBIPathogenDBB	1439320.0	Klebsiella aerogenes MGH 61//Klebsiella pneumoniae	GCA_000692155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/692/155/GCA_000692155.1_Ente_aero_MGH_61_V1	Pathogenic	GCF_000692155.1	PRJNA224116	SAMN02581393	JMUL00000000.1	na	1439320	548	Klebsiella aerogenes MGH 61	strain=MGH 61		latest	Scaffold	Major	Full	2014/05/19	Ente_aero_MGH_61_V1	Broad Institute	GCA_000692155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/155/GCF_000692155.1_Ente_aero_MGH_61_V1			na	Klebsiella aerogenes	NZ_KK736187.1	Klebsiella aerogenes MGH 61 aeeaS-supercont1.1, whole genome shotgun sequence	GCF_000692155.1_Ente_aero_MGH_61_V1_genomic.fna.gz 	GCF_000692155.1	316	2	GCF_000/GCF_000692155.1_Ente_aero_MGH_61_V1_genomic.h5	4921
Klebsiella pneumoniae//Klebsiella aerogenes MGH 62	MGH 62	ENA, NCBI	ENADB, NCBIPathogenDBB	1439321.0	Klebsiella pneumoniae//Klebsiella aerogenes MGH 62	GCA_000692175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/692/175/GCA_000692175.1_Ente_aero_MGH_62_V1	Pathogenic	GCF_000692175.1	PRJNA224116	SAMN02581394	JMUM00000000.1	na	1439321	548	Klebsiella aerogenes MGH 62	strain=MGH 62		latest	Scaffold	Major	Full	2014/05/19	Ente_aero_MGH_62_V1	Broad Institute	GCA_000692175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/175/GCF_000692175.1_Ente_aero_MGH_62_V1			na	Klebsiella aerogenes	NZ_KK736200.1	Klebsiella aerogenes MGH 62 aeeaI-supercont1.1, whole genome shotgun sequence	GCF_000692175.1_Ente_aero_MGH_62_V1_genomic.fna.gz 	GCF_000692175.1	316	2	GCF_000/GCF_000692175.1_Ente_aero_MGH_62_V1_genomic.h5	4864
Enterobacter kobei	BIDMC 67	ENA, NCBI	ENADB, NCBIPathogenDBB	208224.0	E. kobei	GCA_000692255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/692/255/GCA_000692255.1_Ente_cloa_BIDMC_67_V1	Pathogenic	GCF_000692255.1	PRJNA224116	SAMN02581288	JMUQ00000000.1	na	208224	208224	Enterobacter kobei	strain=BIDMC 67		latest	Scaffold	Major	Full	2014/05/19	Ente_cloa_BIDMC_67_V1	Broad Institute	GCA_000692255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/255/GCF_000692255.1_Ente_cloa_BIDMC_67_V1			na	Enterobacter kobei	NZ_KK736229.1	Enterobacter kobei strain BIDMC 67 aedZW-supercont1.1, whole genome shotgun sequence	GCF_000692255.1_Ente_cloa_BIDMC_67_V1_genomic.fna.gz 	GCF_000692255.1	346	5	GCF_000/GCF_000692255.1_Ente_cloa_BIDMC_67_V1_genomic.h5	4603
Enterobacter roggenkampii MGH 54//Enterobacter roggenkampii	MGH 54	ENA, NCBI	ENADB, NCBIPathogenDBB	1439330.0	Enterobacter roggenkampii MGH 54//Enterobacter roggenkampii	GCA_000692335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/692/335/GCA_000692335.1_Ente_cloa_MGH_54_V1	Pathogenic	GCF_000692335.1	PRJNA224116	SAMN02581386	JMUU00000000.1	na	1439330	1812935	Enterobacter roggenkampii MGH 54	strain=MGH 54		latest	Scaffold	Major	Full	2014/05/19	Ente_cloa_MGH_54_V1	Broad Institute	GCA_000692335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/335/GCF_000692335.1_Ente_cloa_MGH_54_V1			na	Enterobacter roggenkampii	NZ_KK736261.1	Enterobacter roggenkampii MGH 54 aeebl-supercont1.1, whole genome shotgun sequence	GCF_000692335.1_Ente_cloa_MGH_54_V1_genomic.fna.gz 	GCF_000692335.1	138	4	GCF_000/GCF_000692335.1_Ente_cloa_MGH_54_V1_genomic.h5	4494
Escherichia coli CHS 77//Escherichia coli	CHS 77	ENA, NCBI	ENADB, NCBIPathogenDBB	1438686.0	Escherichia coli CHS 77//Escherichia coli	GCA_000692735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/692/735/GCA_000692735.1_Esch_coli_CHS_77_V1	Pathogenic	GCF_000692735.1	PRJNA224116	SAMN02581379	JMVO00000000.1	na	1438686	562	Escherichia coli CHS 77	strain=CHS 77		latest	Scaffold	Major	Full	2014/05/19	Esch_coli_CHS_77_V1	Broad Institute	GCA_000692735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/735/GCF_000692735.1_Esch_coli_CHS_77_V1			na	Escherichia coli	NZ_KK736485.1	Escherichia coli CHS 77 aeeam-supercont1.1, whole genome shotgun sequence	GCF_000692735.1_Esch_coli_CHS_77_V1_genomic.fna.gz 	GCF_000692735.1	9	5	GCF_000/GCF_000692735.1_Esch_coli_CHS_77_V1_genomic.h5	4751
